Company Name,Transaction Name URL,City,State,Country,Region,Organization_Industries,Organization_Name_URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency in USD,Announced Date
Analog,https://www.crunchbase.com/funding_round/analog-986e-seed--170e3afd,Newark,Delaware,United States,North America,"Blockchain, Cryptocurrency, Marketing, Software, Web3",https://www.crunchbase.com/organization/analog-986e,Seed,16000000,USD,16000000,2/12/2024
WAY.so,https://www.crunchbase.com/funding_round/way-so-pre-seed--13bef0c0,Berlin,Berlin,Germany,Europe,"Hardware, Software",https://www.crunchbase.com/organization/way-so,Pre-Seed,1200000,EUR,1304925,2/1/2024
Clarity,https://www.crunchbase.com/funding_round/clarity-7512-seed--5add468b,New York,New York,United States,North America,"Artificial Intelligence (AI), Cyber Security, Software",https://www.crunchbase.com/organization/clarity-7512,Seed,16000000,USD,16000000,2/15/2024
Reo.Dev,https://www.crunchbase.com/funding_round/reo-dev-pre-seed--dcdfcb55,San Francisco,California,United States,North America,"Artificial Intelligence (AI), Developer Tools, Marketing, Sales Automation",https://www.crunchbase.com/organization/reo-dev,Pre-Seed,1200000,USD,1200000,2/27/2024
Portal,https://www.crunchbase.com/funding_round/tides-seed--be472eaf,San Francisco,California,United States,North America,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech",https://www.crunchbase.com/organization/tides,Seed,34000000,USD,34000000,1/30/2024
DatologyAI,https://www.crunchbase.com/funding_round/datologyai-seed--b80bbe74,Redwood City,California,United States,North America,"Artificial Intelligence (AI), Information Technology",https://www.crunchbase.com/organization/datologyai,Seed,11650000,USD,11650000,2/22/2024
Sitehop,https://www.crunchbase.com/funding_round/sitehop-seed--66db7852,Sheffield,Sheffield,United Kingdom,Europe,"Cyber Security, Information Technology, Software",https://www.crunchbase.com/organization/sitehop,Seed,5000000,GBP,6330628,2/28/2024
" HuLoop Automation, Inc.",https://www.crunchbase.com/funding_round/huloop-automation-inc-seed--eda547a9,Auburn,California,United States,North America,Software,https://www.crunchbase.com/organization/huloop-automation-inc,Seed,5000000,USD,5000000,2/27/2024
Guardrails AI,https://www.crunchbase.com/funding_round/guardrails-ai-seed--8e618182,Menlo Park,California,United States,North America,Artificial Intelligence (AI),https://www.crunchbase.com/organization/guardrails-ai,Seed,7500000,USD,7500000,2/15/2024
Monite,https://www.crunchbase.com/funding_round/monite-seed--e652ced9,Berlin,Berlin,Germany,Europe,"Financial Services, FinTech, Payments, SaaS, Software",https://www.crunchbase.com/organization/monite,Seed,6000000,USD,6000000,2/19/2024
Arkis DeFi Prime Broker,https://www.crunchbase.com/funding_round/blink-finance-pre-seed--322d7fcc,London,England,United Kingdom,Europe,"Blockchain, Cryptocurrency",https://www.crunchbase.com/organization/blink-finance,Pre-Seed,1780000,GBP,2257087,2/27/2024
Delegate,https://www.crunchbase.com/funding_round/delegate-3543-seed--8b5b4b39,San Francisco,California,United States,North America,"Blockchain, Cryptocurrency, Security",https://www.crunchbase.com/organization/delegate-3543,Seed,9000000,USD,9000000,2/1/2024
SEMRON,https://www.crunchbase.com/funding_round/semron-seed--57993a22,Dresden,Sachsen,Germany,Europe,"3D Technology, Artificial Intelligence (AI), B2B",https://www.crunchbase.com/organization/semron,Seed,7300000,EUR,7915398,1/30/2024
akirolabs,https://www.crunchbase.com/funding_round/akirolabs-seed--702ec142,Berlin,Berlin,Germany,Europe,"Artificial Intelligence (AI), Information Technology, Procurement, SaaS",https://www.crunchbase.com/organization/akirolabs,Seed,5000000,USD,5000000,1/29/2024
Rock Rabbit,https://www.crunchbase.com/funding_round/rock-rabbit-seed--f249eb88,Palo Alto,California,United States,North America,"Apps, Artificial Intelligence (AI), Consumer Software, Productivity Tools",https://www.crunchbase.com/organization/rock-rabbit,Seed,3100000,USD,3100000,2/22/2024
Jua,https://www.crunchbase.com/funding_round/jua-seed--228892ae,Freienbach,Schwyz,Switzerland,Europe,"Artificial Intelligence (AI), Developer Platform, Information Technology, Internet, Machine Learning",https://www.crunchbase.com/organization/jua,Seed,16000000,USD,16000000,2/5/2024
Wondercraft,https://www.crunchbase.com/funding_round/wondercraft-seed--313bd4c8,London,England,United Kingdom,Europe,"Artificial Intelligence (AI), Content, Podcast, SaaS",https://www.crunchbase.com/organization/wondercraft,Seed,2360000,GBP,3000502,1/29/2024
Bitlight Labs,https://www.crunchbase.com/funding_round/bitlight-labs-seed--658911b7,Los Angeles,California,United States,North America,"Bitcoin, Cryptocurrency, Information Technology",https://www.crunchbase.com/organization/bitlight-labs,Seed,0,NULL,0,2/2/2024
Myko AI,https://www.crunchbase.com/funding_round/genius-sheets-seed--02b8f2b8,Scarsdale,New York,United States,North America,"Accounting, Finance, FinTech, Software",https://www.crunchbase.com/organization/genius-sheets,Seed,2700000,USD,2700000,2/26/2024
FlowGPT,https://www.crunchbase.com/funding_round/flowgpt-seed--6249fe41,Berkeley,California,United States,North America,"Artificial Intelligence (AI), Consumer Applications, Consumer Software, Information Technology",https://www.crunchbase.com/organization/flowgpt,Seed,10000000,USD,10000000,2/26/2024
CareerOS,https://www.crunchbase.com/funding_round/careeros-pre-seed--e67f11f6,Barcelona,Catalonia,Spain,Europe,"Career Planning, EdTech, Education",https://www.crunchbase.com/organization/careeros,Pre-Seed,1200000,USD,1200000,2/15/2024
Ethena,https://www.crunchbase.com/funding_round/ethena-b5a5-seed--79a62cd0,Lisbon,Lisboa,Portugal,Europe,"Blockchain, Cryptocurrency",https://www.crunchbase.com/organization/ethena-b5a5,Seed,14000000,USD,14000000,2/16/2024
Flexnode,https://www.crunchbase.com/funding_round/flexnode-seed--3fd0d4e4,Bethesda,Maryland,United States,North America,"Cloud Computing, Consulting, Information Technology",https://www.crunchbase.com/organization/flexnode,Seed,9000000,USD,9000000,2/27/2024
Enkrypt AI,https://www.crunchbase.com/funding_round/enkrypt-ai-seed--896ba972,Boston,Massachusetts,United States,North America,"Artificial Intelligence (AI), Asset Management, Digital Marketing, Information Technology",https://www.crunchbase.com/organization/enkrypt-ai,Seed,2350000,USD,2350000,2/27/2024
Assemblio,https://www.crunchbase.com/funding_round/assemblio-seed--26d7e38c,Stuttgart,Baden-Wurttemberg,Germany,Europe,"Artificial Intelligence (AI), Industrial, Manufacturing, SaaS",https://www.crunchbase.com/organization/assemblio,Seed,2100000,EUR,2276065,2/28/2024
AVATAR MEDICAL,https://www.crunchbase.com/funding_round/avatar-medical-seed--a4f355af,Paris,Ile-de-France,France,Europe,"Education, Virtual Reality",https://www.crunchbase.com/organization/avatar-medical,Seed,5000000,EUR,5387798,2/19/2024
Gevulot,https://www.crunchbase.com/funding_round/gevulot-seed--f086dc6f,Helsinki,Southern Finland,Finland,Europe,"Blockchain, Cryptocurrency, Internet",https://www.crunchbase.com/organization/gevulot,Seed,6000000,USD,6000000,1/29/2024
Monumental,https://www.crunchbase.com/funding_round/monumental-6b94-seed--a0ab96de,Amsterdam,Noord-Holland,The Netherlands,Europe,"Construction, Robotics, Software",https://www.crunchbase.com/organization/monumental-6b94,Seed,23200000,EUR,24993132,2/15/2024
Antithesis,https://www.crunchbase.com/funding_round/antithesis-seed--fb6437f0,Vienna,Virginia,United States,North America,"Artificial Intelligence (AI), Information Technology, Quality Assurance, Software",https://www.crunchbase.com/organization/antithesis,Seed,47000000,USD,47000000,2/13/2024
PlayMakers,https://www.crunchbase.com/funding_round/playmakers-d96a-pre-seed--245419af,Paris,Ile-de-France,France,Europe,"Content, Gaming, Software",https://www.crunchbase.com/organization/playmakers-d96a,Pre-Seed,1500000,USD,1500000,2/26/2024
Artie,https://www.crunchbase.com/funding_round/artie-a438-seed--8eea830d,San Francisco,California,United States,North America,"Analytics, B2B, Data Integration, Database, Software",https://www.crunchbase.com/organization/artie-a438,Seed,3300000,USD,3300000,2/14/2024
Armilla AI,https://www.crunchbase.com/funding_round/armilla-ai-seed--312237fb,Toronto,Ontario,Canada,North America,"Artificial Intelligence (AI), Software",https://www.crunchbase.com/organization/armilla-ai,Seed,6000000,CAD,4455616,2/15/2024
Vocode,https://www.crunchbase.com/funding_round/vocode-seed--b9046478,San Francisco,California,United States,North America,"Developer Tools, Information Technology, Open Source, Speech Recognition",https://www.crunchbase.com/organization/vocode,Seed,3250000,USD,3250000,2/8/2024
Stellar Sleep,https://www.crunchbase.com/funding_round/stellar-sleep-seed--7e897228,San Francisco,California,United States,North America,"Advice, Health Care, Mobile Apps, Personal Health",https://www.crunchbase.com/organization/stellar-sleep,Seed,6000000,USD,6000000,2/6/2024
HackQuest,https://www.crunchbase.com/funding_round/hackquest-pre-seed--e24af050,Atlanta,Georgia,United States,North America,"Apps, EdTech, Education, Non-Fungible Token (NFT), Web3",https://www.crunchbase.com/organization/hackquest,Pre-Seed,1100000,USD,1100000,2/24/2024
IDENFIT,https://www.crunchbase.com/funding_round/idenfit-seed--e78b72dc,The Hague,Zuid-Holland,The Netherlands,Europe,"Human Resources, Information Technology, Retail, SaaS, Software, Virtual Workforce",https://www.crunchbase.com/organization/idenfit,Seed,1500000,USD,1500000,2/21/2024
Mimrr,https://www.crunchbase.com/funding_round/mimrr-pre-seed--9cb0e677,Dover,Delaware,United States,North America,Software,https://www.crunchbase.com/organization/mimrr,Pre-Seed,120000,USD,120000,2/15/2024
Cognitiwe,https://www.crunchbase.com/funding_round/cognitiwe-seed--9de2e6d0,Tallinn,Harjumaa,Estonia,Europe,"Artificial Intelligence (AI), Computer Vision, Food and Beverage, Machine Learning, Predictive Analytics, Retail Technology, Sustainability, Waste Management",https://www.crunchbase.com/organization/cognitiwe,Seed,1000000,EUR,1087438,2/1/2024
AddGlow,https://www.crunchbase.com/funding_round/addglow-pre-seed--6ec1fa99,New York,New York,United States,North America,"Information Technology, Software",https://www.crunchbase.com/organization/addglow,Pre-Seed,1700000,USD,1700000,2/22/2024
Mondra,https://www.crunchbase.com/funding_round/mondra-seed--59b20b3f,London,England,United Kingdom,Europe,"Analytics, Artificial Intelligence (AI), Food and Beverage, GreenTech, Information Technology, Software, Sustainability",https://www.crunchbase.com/organization/mondra,Seed,3600000,GBP,4564896,2/27/2024
BreachBits,https://www.crunchbase.com/funding_round/breachbits-seed--44b7e75d,Annapolis,Maryland,United States,North America,"Artificial Intelligence (AI), Cyber Security, Machine Learning, SaaS",https://www.crunchbase.com/organization/breachbits,Seed,0,NULL,0,2/26/2024
Mobly,https://www.crunchbase.com/funding_round/mobly-cf90-seed--a821bd00,Eagle Mountain,Utah,United States,North America,"B2B, Mobile Apps, SaaS, Software",https://www.crunchbase.com/organization/mobly-cf90,Seed,2500000,USD,2500000,2/26/2024
dataroomHQ,https://www.crunchbase.com/funding_round/dataroomhq-seed--24340be7,New York,New York,United States,North America,"Finance, Machine Learning, SaaS",https://www.crunchbase.com/organization/dataroomhq,Seed,3500000,USD,3500000,2/6/2024
KIT AR,https://www.crunchbase.com/funding_round/kit-ar-limited-seed--4635f878,London,England,United Kingdom,Europe,"Augmented Reality, Industrial Manufacturing, Information Technology, Manufacturing, Quality Assurance",https://www.crunchbase.com/organization/kit-ar-limited,Seed,2820000,GBP,3575835,2/27/2024
FORA,https://www.crunchbase.com/funding_round/fora-38e5-pre-seed--4d4bcd3a,Nyack,New York,United States,North America,"Artificial Intelligence (AI), Generative AI, Software, Web Development",https://www.crunchbase.com/organization/fora-38e5,Pre-Seed,3800000,USD,3800000,1/31/2024
Coris,https://www.crunchbase.com/funding_round/coris-38b0-seed--88264bb5,Palo Alto,California,United States,North America,"FinTech, Payments, Risk Management, Software",https://www.crunchbase.com/organization/coris-38b0,Seed,3700000,USD,3700000,2/1/2024
BOX ID Systems,https://www.crunchbase.com/funding_round/box-id-systems-seed--1d80ed9c,Munich,Bayern,Germany,Europe,"Automotive, Enterprise Software, Industrial, Information Technology, Internet of Things, Manufacturing, SaaS, Software, Supply Chain Management",https://www.crunchbase.com/organization/box-id-systems,Seed,3500000,EUR,3806032,2/1/2024
Proofcheck,https://www.crunchbase.com/funding_round/proofcheck-pre-seed--0d818c3f,Vienna,Wien,Austria,Europe,"Artificial Intelligence (AI), Software",https://www.crunchbase.com/organization/proofcheck,Pre-Seed,500000,EUR,539928,2/2/2024
Pronto Housing,https://www.crunchbase.com/funding_round/pronto-housing-seed--5fc08ea1,New York,New York,United States,North America,"Enterprise Software, Property Management, Real Estate, Software",https://www.crunchbase.com/organization/pronto-housing,Seed,3000000,USD,3000000,2/27/2024
Reken,https://www.crunchbase.com/funding_round/reken-seed--66005a5e,San Francisco,California,United States,North America,"Artificial Intelligence (AI), Communications Infrastructure, Cyber Security, Fraud Detection, Information Technology, Machine Learning, Network Security, Security, Software",https://www.crunchbase.com/organization/reken,Seed,10000000,USD,10000000,1/31/2024
UnityAI,https://www.crunchbase.com/funding_round/unityai-seed--a028afa1,Nashville,Tennessee,United States,North America,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care",https://www.crunchbase.com/organization/unityai,Seed,4000000,USD,4000000,2/20/2024
Meso,https://www.crunchbase.com/funding_round/meso-1d1e-seed--350b680d,New York,New York,United States,North America,"Cryptocurrency, Financial Services, Web3",https://www.crunchbase.com/organization/meso-1d1e,Seed,9500000,USD,9500000,2/20/2024
SigScalr,https://www.crunchbase.com/funding_round/sigscalr-pre-seed--6f14545d,Nashua,New Hampshire,United States,North America,"Information Technology, Software",https://www.crunchbase.com/organization/sigscalr,Pre-Seed,1760000,USD,1760000,2/20/2024
Finpilot,https://www.crunchbase.com/funding_round/finpilot-seed--47ed8c5e,Seattle,Washington,United States,North America,"Artificial Intelligence (AI), Cloud Data Services, Finance, Predictive Analytics, Software",https://www.crunchbase.com/organization/finpilot,Seed,4000000,USD,4000000,2/22/2024
AudioStack,https://www.crunchbase.com/funding_round/aflorithmic-labs-seed--2c66346c,London,England,United Kingdom,Europe,"Artificial Intelligence (AI), Audio, Machine Learning, Personalization, SaaS, Software, Speech Recognition",https://www.crunchbase.com/organization/aflorithmic-labs,Seed,2500000,GBP,3150797,2/6/2024
FuzzLand,https://www.crunchbase.com/funding_round/fuzzland-seed--3a6f528b,Palo Alto,California,United States,North America,Web Development,https://www.crunchbase.com/organization/fuzzland,Seed,3000000,USD,3000000,2/8/2024
Saleor Commerce,https://www.crunchbase.com/funding_round/saleor-commerce-seed--0921d921,Wroclaw,Dolnoslaskie,Poland,Europe,"Developer APIs, E-Commerce, E-Commerce Platforms, Open Source",https://www.crunchbase.com/organization/saleor-commerce,Seed,8000000,USD,8000000,2/5/2024
Dexa AI,https://www.crunchbase.com/funding_round/dexa-ai-seed--3c53b427,New York,New York,United States,North America,"Artificial Intelligence (AI), Information Technology, Internet, Podcast, Search Engine",https://www.crunchbase.com/organization/dexa-ai,Seed,6000000,USD,6000000,2/5/2024
Parspec,https://www.crunchbase.com/funding_round/parspec-seed--ffdcdb7d,San Francisco,California,United States,North America,"Artificial Intelligence (AI), Construction, Information Technology",https://www.crunchbase.com/organization/parspec,Seed,11500000,USD,11500000,2/27/2024
Nile,https://www.crunchbase.com/funding_round/nile-4912-seed--85c8919d,San Francisco,California,United States,North America,"Database, Internet, Web Development",https://www.crunchbase.com/organization/nile-4912,Seed,11600000,USD,11600000,1/30/2024
Sunhat,https://www.crunchbase.com/funding_round/sunhat-seed--55fbdd1e,Cologne,Nordrhein-Westfalen,Germany,Europe,"Business Information Systems, Consumer Software, Software",https://www.crunchbase.com/organization/sunhat,Seed,3000000,EUR,3252149,2/27/2024
Jamix,https://www.crunchbase.com/funding_round/jamix-a934-pre-seed--f178a02a,San Francisco,California,United States,North America,Artificial Intelligence (AI),https://www.crunchbase.com/organization/jamix-a934,Pre-Seed,3000000,USD,3000000,2/21/2024
HACE,https://www.crunchbase.com/funding_round/hace-87e4-pre-seed--b02b036e,Manchester,Manchester,United Kingdom,Europe,"Analytics, Artificial Intelligence (AI), Information Technology, Social Impact",https://www.crunchbase.com/organization/hace-87e4,Pre-Seed,450000,GBP,569757,2/28/2024
Climate Policy Radar,https://www.crunchbase.com/funding_round/climate-policy-radar-seed--cd06c022,London,England,United Kingdom,Europe,"Consulting, Machine Learning, Non Profit",https://www.crunchbase.com/organization/climate-policy-radar,Seed,6800000,USD,6800000,2/20/2024
Arch,https://www.crunchbase.com/funding_round/arch-9a5b-seed--37e9cbfa,San Francisco,California,United States,North America,"Embedded Software, Embedded Systems, GreenTech, Heating, Ventilation, and Air Conditioning (HVAC)",https://www.crunchbase.com/organization/arch-9a5b,Seed,6200000,USD,6200000,2/15/2024
Holdbar,https://www.crunchbase.com/funding_round/holdbar-seed--128372c9,Aarhus,Midtjylland,Denmark,Europe,"Software, Travel",https://www.crunchbase.com/organization/holdbar,Seed,3500000,USD,3500000,2/9/2024
Cascading AI,https://www.crunchbase.com/funding_round/cascading-ai-pre-seed--4ab63755,San Francisco,California,United States,North America,"Banking, FinTech, Software",https://www.crunchbase.com/organization/cascading-ai,Pre-Seed,3900000,USD,3900000,2/9/2024
Subsets,https://www.crunchbase.com/funding_round/subsets-pre-seed--9e47a9e5,Copenhagen,Hovedstaden,Denmark,Europe,"Artificial Intelligence (AI), CRM, SaaS, Software",https://www.crunchbase.com/organization/subsets,Pre-Seed,1650000,USD,1650000,2/27/2024
Klas,https://www.crunchbase.com/funding_round/elpis-academy-pre-seed--91912680,Remote,Oregon,United States,North America,EdTech,https://www.crunchbase.com/organization/elpis-academy,Pre-Seed,1000000,USD,1000000,2/6/2024
Monomer Bio,https://www.crunchbase.com/funding_round/monomer-bio-seed--6905da7e,Pacifica,California,United States,North America,"Biotechnology, Hardware, Software, Software Engineering, Web Apps",https://www.crunchbase.com/organization/monomer-bio,Seed,5600000,USD,5600000,1/31/2024
Amigos Social,https://www.crunchbase.com/funding_round/amigos-social-seed--1a77df9e,Utrecht,Utrecht,The Netherlands,Europe,"Information Technology, Mobile Apps, Social Media, Social Network",https://www.crunchbase.com/organization/amigos-social,Seed,1000000,EUR,1080990,2/20/2024
Januar,https://www.crunchbase.com/funding_round/januar-seed--2061a7e4,Copenhagen,Hovedstaden,Denmark,Europe,"Cryptocurrency, Financial Services, FinTech, Payments",https://www.crunchbase.com/organization/januar,Seed,1500000,EUR,1623841,2/22/2024
YoFio,https://www.crunchbase.com/funding_round/yofio-seed--15b7c1ec,Mexico City,Distrito Federal,Mexico,North America,"Apps, Credit, Financial Services",https://www.crunchbase.com/organization/yofio,Seed,10000000,USD,10000000,2/26/2024
Hakio,https://www.crunchbase.com/funding_round/hakio-seed--b7ac0088,Aarhus,Midtjylland,Denmark,Europe,"SaaS, Supply Chain Management",https://www.crunchbase.com/organization/hakio,Seed,4000000,EUR,4328138,2/21/2024
Ad,https://www.crunchbase.com/funding_round/ad-shield-seed--64449008,New York,New York,United States,North America,"Advertising, Information Services, Information Technology, Software",https://www.crunchbase.com/organization/ad-shield,Seed,2700000000,KRW,2022652,2/19/2024
Validient,https://www.crunchbase.com/funding_round/validient-seed--258b4e2d,Newport,New South Wales,Australia,Oceania,"Fraud Detection, Risk Management, Software",https://www.crunchbase.com/organization/validient,Seed,300000,GBP,380408,2/27/2024
Kusho,https://www.crunchbase.com/funding_round/kusho-pre-seed--93bcf086,San Francisco,California,United States,North America,"Artificial Intelligence (AI), Developer Tools, Generative AI, SaaS, Software",https://www.crunchbase.com/organization/kusho,Pre-Seed,600000,USD,600000,2/22/2024
VectorShift,https://www.crunchbase.com/funding_round/vectorshift-seed--fcaf7550,San Francisco,California,United States,North America,"Apps, Artificial Intelligence (AI), Generative AI, Search Engine, Software",https://www.crunchbase.com/organization/vectorshift,Seed,3000000,USD,3000000,2/21/2024
Zocks,https://www.crunchbase.com/funding_round/zocks-seed--af089eeb,San Francisco,California,United States,North America,"Information Technology, Software, Web Development",https://www.crunchbase.com/organization/zocks,Seed,5500000,USD,5500000,2/15/2024
Fordefi,https://www.crunchbase.com/funding_round/fordefi-seed--96654c9a,New York,New York,United States,North America,"Blockchain, Cryptocurrency, FinTech, Software, Web3",https://www.crunchbase.com/organization/fordefi,Seed,10000000,USD,10000000,2/13/2024
Campfire,https://www.crunchbase.com/funding_round/campfire-cd2d-seed--1b09ccc1,San Francisco,California,United States,North America,"Accounting, Finance, Software",https://www.crunchbase.com/organization/campfire-cd2d,Seed,3500000,USD,3500000,2/27/2024
TORTUS AI,https://www.crunchbase.com/funding_round/tortus-ai-seed--350dde4b,London,England,United Kingdom,Europe,"Health Care, Medical, Software",https://www.crunchbase.com/organization/tortus-ai,Seed,3300000,GBP,4166867,2/12/2024
Choice,https://www.crunchbase.com/funding_round/choice-4282-seed--e6fd5bc4,Prague,Hlavni mesto Praha,Czech Republic,Europe,SaaS,https://www.crunchbase.com/organization/choice-4282,Seed,2500000,USD,2500000,2/28/2024
Gains AI,https://www.crunchbase.com/funding_round/gains-ai-pre-seed--ac5ebed9,Madrid,Madrid,Spain,Europe,Mobile Apps,https://www.crunchbase.com/organization/gains-ai,Pre-Seed,0,NULL,0,3/1/2024
Flood,https://www.crunchbase.com/funding_round/flood-0c83-seed--29024327,New York,New York,United States,North America,"Cryptocurrency, Decentralized Finance (DeFi), Financial Services",https://www.crunchbase.com/organization/flood-0c83,Seed,5200000,USD,5200000,2/8/2024
Yendou,https://www.crunchbase.com/funding_round/yendou-pre-seed--e415084e,Berlin,Berlin,Germany,Europe,"Clinical Trials, Information Technology, Oncology, Software",https://www.crunchbase.com/organization/yendou,Pre-Seed,1200000,EUR,1300609,2/28/2024
Cimba.ai,https://www.crunchbase.com/funding_round/cimba-ai-pre-seed--c9c9fae7,Seattle,Washington,United States,North America,"Analytics, Artificial Intelligence (AI), Business Intelligence, Generative AI, Predictive Analytics, SaaS, Software",https://www.crunchbase.com/organization/cimba-ai,Pre-Seed,1350000,USD,1350000,2/6/2024
HireAra,https://www.crunchbase.com/funding_round/hireara-seed--bf1451ab,London,England,United Kingdom,Europe,"Artificial Intelligence (AI), Developer Platform, Human Resources",https://www.crunchbase.com/organization/hireara,Seed,247500,GBP,313815,1/31/2024
Yume Food Australia,https://www.crunchbase.com/funding_round/yume-food-australia-seed--108a351f,South Melbourne,Victoria,Australia,Oceania,"Apps, Food and Beverage, Marketplace, Mobile Apps",https://www.crunchbase.com/organization/yume-food-australia,Seed,2000000,AUD,1323000,1/29/2024
StreamAlive,https://www.crunchbase.com/funding_round/streamalive-pre-seed--96ec0d95,Basking Ridge,New Jersey,United States,North America,Software,https://www.crunchbase.com/organization/streamalive,Pre-Seed,1580000,USD,1580000,1/31/2024
Agrow Analytics,https://www.crunchbase.com/funding_round/agrow-analytics-seed--2ac55742,MÃ¡laga,Andalucia,Spain,Europe,"Agriculture, AgTech, Farming, Software, Water",https://www.crunchbase.com/organization/agrow-analytics,Seed,650000,EUR,704796,1/30/2024
ISHI Health,https://www.crunchbase.com/funding_round/ishi-health-seed--d83d2f1c,San Diego,California,United States,North America,"Artificial Intelligence (AI), Health Care",https://www.crunchbase.com/organization/ishi-health,Seed,4000000,USD,4000000,2/21/2024
Monumo,https://www.crunchbase.com/funding_round/monumo-seed--7f8891ba,Great Chesterford,Essex,United Kingdom,Europe,"Automotive, Electronics, Industrial Engineering, Machine Learning, Mechanical Engineering",https://www.crunchbase.com/organization/monumo,Seed,10500000,GBP,13256187,2/20/2024
BlueBean,https://www.crunchbase.com/funding_round/bluebean-01f1-seed--f31d8e83,Boston,Massachusetts,United States,North America,"Artificial Intelligence (AI), Browser Extensions, Information Technology",https://www.crunchbase.com/organization/bluebean-01f1,Seed,1300000,USD,1300000,2/28/2024
FlareLane,https://www.crunchbase.com/funding_round/flarelane-seed--f38c0a5e,Middletown,Delaware,United States,North America,"CRM, Marketing Automation, SaaS",https://www.crunchbase.com/organization/flarelane,Seed,1400000000,KRW,1050594,2/16/2024
Neuromindset,https://www.crunchbase.com/funding_round/neuromindset-pre-seed--9786846a,Granada,Andalucia,Spain,Europe,"Children, E-Learning, EdTech, Education, Machine Learning, Mental Health, Neuroscience, Primary Education",https://www.crunchbase.com/organization/neuromindset,Pre-Seed,205000,EUR,220844,2/15/2024
Sibli,https://www.crunchbase.com/funding_round/responsibli-seed--45a27380,MontrÃ©al,Quebec,Canada,North America,"Software, Web Development",https://www.crunchbase.com/organization/responsibli,Seed,4500000,USD,4500000,2/13/2024
Motif Analytics,https://www.crunchbase.com/funding_round/motif-analytics-seed--059a2c6e,San Francisco,California,United States,North America,"Business Development, Software",https://www.crunchbase.com/organization/motif-analytics,Seed,5700000,USD,5700000,2/12/2024
Pluto.markets,https://www.crunchbase.com/funding_round/pluto-markets-seed--88a6cc90,Copenhagen,Hovedstaden,Denmark,Europe,"Apps, Financial Services, FinTech, Trading Platform, Wealth Management",https://www.crunchbase.com/organization/pluto-markets,Seed,2600000,USD,2600000,2/7/2024
DeepLook Medical,https://www.crunchbase.com/funding_round/deeplook-medical-seed--96ed6f76,New Haven,Connecticut,United States,North America,"Health Care, Medical, Software",https://www.crunchbase.com/organization/deeplook-medical,Seed,1700000,USD,1700000,2/8/2024
